M̦gliche assigned ECU,J05,J09,J11
GWM_BMS-01,x,x,x
GWM_MCU-01,x,,x
GWM_ODP-01,,x,x
GWM_ODP-02,x,x,x
GWM_VCU-01,x,x,x
BACKEND_ECE_ME,x,x,x
BACKEND_ASIA,x,x,x
WAVE-01,x,x,x
AZV-LGE_AS,x,x,x
BOOSTER-02_AS,x,x,x
HU-MGU_01,x,x,x
HU-MGU_02_A,x,x,x
HU-MGU_02_L,x,x,x
FZD-40_2,x,x,x
FZD-40,x,x,x
FZD-ILE35_AS,x,x,x
HUD_LGE-AS,x,x,x
NFC_WCA-02,x,x,x
TGL-MINI,x,x,x
RAM-01,x,x,x
SCR-04,x,x,x
KOMBI-MINI_B,x,x,x
APP_Mobile_2_0,x,x,x
APP_Mobile_2_0_IOS_CN,x,x,x
APP_Mobile_2_0_Android_CN,x,x,x
APPS_Onboard,x,x,x
ETC_CN-01,x,x,x
IC_G5-Box,x,x,x
ILP-01_AS,x,x,x
IHKA-PRO2,x,x,x
SF_VehicleProg,x,x,x
IB-CT03-BRS,x,x,x
IB-CT03-VIP,x,x,x
IB_VIP_EV,x,x,x
Smacc_Devices,x,x,x
Spotlight-ABEE,x,x,x
GWM_EPS-NEX02,x,x,x
EPS-NEX02,x,x,x
BCP-01-AP,x,x,x
BCP-21,x,x,x
BCP_Parkmaster,x,x,x
BT-Device,x,x,x
FBD5-Conti_AS,x,x,x
IDG_Gen3-MQ_AS,x,x,x
EME-GEN3,x,x,x
SZL_BEL-01_AS,x,x,x
RLSBS-VA_AS,x,x,x
RVC-30,x,x,x
MRR-30,x,x,x
SRR-40_CD,x,x,x
SRR-40_ECU,x,x,x
UCAP-10,x,x,x
USS-50,x,x,x
FRR-30,x,x,x
MRR-30,x,x,x
MPAD-21-PP,x,x,x
MPAD-21-SSC,x,x,x
MPAD-21-ASS,x,x,x
ADCAM-10LOW,x,x,x
AR_CAM-AS,x,x,x
BCP_Parkmaster,x,x,x
SRR-40,x,x,x
EDH_GEN5-LIN_AS,x,x,x
AAG-02,x,x,x
FLM-03,x,x,x
SM-06,x,x,x
TSG-01,x,x,x
ZLRE-01_AS,x,x,x
RLM-02,x,x,x
INGA-18,x,x,x
ACSM-06,x,x,x
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
